iot,video,web
0.4158680788307051,7,16.2037169245671
0.9439690324511507,25,11.953741773311814
2.314554825793837,24,14.613983250802226
2.918554206265231,24,17.682549050218565
3.7252753038447644,26,19.86971670803314
3.7818880858494643,28,12.55092921735551
5.757067962223425,27,15.01072666165937
5.665714507709533,23,16.824067238704817
6.144969129679052,26,18.577157644478667
7.9484474398318214,25,18.5717267594387
8.026039976317815,25,13.88347276962023
8.733226760200862,23,12.899639446521633
10.057477694639426,26,18.011482202454832
9.966459393590975,24,15.95692120036508
8.792376450720376,25,20.640922047461633
10.083567370775599,22,15.24146905480836
10.725544483791511,24,18.293457189813907
11.48103232656033,23,18.039274936665404
9.793304883726407,24,15.172737204955691
10.011600493959168,25,11.307536724717421
9.442876361959861,28,15.672925076403953
10.509261396615372,24,15.90354970682763
7.871764415804247,22,22.09695627039489
7.81609968535291,25,14.830452554413192
5.79890732855087,27,20.43684907076279
6.159977860719832,25,16.511636785203848
4.622198445594479,25,11.841485379915246
4.7762765803583065,27,20.59445193877482
5.792847770622613,27,16.28580834416541
0.795167569932564,24,11.226558697549144
0.5141353814922901,22,13.798220013013223
0.06907559385354073,25,18.159771896886955
0.4925092789662032,25,18.66175943347433
0.0,24,17.983649591162333
0.0,23,12.83000835853715
0.0,24,11.796680820587703
0.0,24,13.348860456630007
0.0,28,18.403796547424477
0.0,25,11.09289914015936
0.0,30,17.159730722136093
0.0,23,15.407046042307346
0.0,24,15.04399595377915
0.0,28,12.565207506185683
0.0,23,20.834118983606402
0.0,23,14.28480206678924
0.0,26,9.935052016122693
0.0,26,11.003638540998992
0.0,24,12.620755043268172
0.0,28,20.065846723866454
0.0,26,16.125908131530583
0.0,24,12.710403803261617
0.0,27,12.772413745723176
0.0,23,13.480780505127452
0.0,25,12.833891370190072
0.0,23,16.234208958397723
0.0,28,11.400760081762035
0.0,22,18.18086137464629
0.0,24,19.14051117849256
0.0,22,14.049596771057526
0.0,27,16.708267752018592
0.0,21,19.937461207056934
0.0,26,15.195438024355154
0.0,23,16.898526368562898
0.1101276739115932,3,14.29128603915637
0.6294840654765529,6,17.424059434717947
3.253126811994995,1,11.819162277275334
2.8101879089859336,5,17.98625801880836
5.224646060077066,4,15.178882126044403
5.101693429385259,7,14.765630192829097
5.8078123299772315,7,11.182723541468409
6.999511594580075,3,13.608021850394035
7.42443367400844,0,15.346874521417078
6.8640573227734025,1,13.431111363305101
7.601218119621044,9,16.527033839837944
9.555941576021233,3,19.524616564133535
